no,ELE,SLP,TMP,PPT,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_21,191.1495178,0.613724716,27.65181649,111.760016,708.7,1.804430242,22.18219891,50.48526446,9.077801744,14.5,27.26630402,32.68323135,2
element_22,586.1019591,0.350502661,26.48782745,123.6957917,6517.1,3.04357606,25.34635497,49.50943224,9.117258647,21.4244957,35.75377655,40.72328568,2
element_23,363.8523149,0.431236712,27.2784216,147.3572561,7799.8,2.544647492,24.10354457,49.89148366,8.590357768,20.14892578,34.21337891,38.83585358,2
element_24,768.5619365,0.54763489,25.35422394,163.6055035,64696.7,3.095448595,28.95467766,47.41378626,9.112065329,21.07655716,39.46098328,37.16762924,2
element_25,175.003216,0.371522746,27.26668539,343.9244193,30966,2.735858831,25.24893772,47.99976603,5.583567552,21.90734482,43.18608856,31.24883652,2
element_26,13.09613313,0.090178019,28.05577684,432.77968,745374.3,4.33870453,23.67373497,42.52482834,-0.1748652,16.47019196,41.4788475,21.18330002,11
element_27,12.49774196,0.054626274,28.09508534,508.4623457,513314,4.665048159,24.97181858,42.67557426,0.091941218,14.30803585,53.5022316,23.86775017,11
element_28,42.67199173,0.039026553,28.50960956,462.9456619,230634.3,5.480740304,27.29684409,41.77233039,0.239255423,25.45078087,46.50734329,25.72369576,11
element_29,93.98627491,0.118138827,27.72015004,516.3443439,298252.8,4.631690287,26.59932737,43.26787003,1.398155547,29.12280273,34.05815125,30.24122238,11
element_30,296.5056896,0.359233652,28.15261826,451.5904208,214441.4,3.123622612,25.61813854,42.67008639,2.870142654,25.76244926,38.73212433,31.36762238,2
element_31,470.71666,0.360064287,26.99896089,387.1811647,123925.3,3.772815101,29.00789718,40.2134895,2.504466652,29.31097794,44.73150253,23.51656532,2
element_32,42.83551642,0.02942126,28.68460073,466.3338462,92274.6,5.441546264,23.65276195,41.56919893,0.558807325,30.39214325,32.83499908,34.21537399,11
element_33,126.4722879,0.081150606,28.48253793,362.5128153,81552.5,4.607929076,26.71157557,40.47370705,0.10874153,28.89639473,59.60745239,10.76905823,2
element_34,160.6138287,0.133254019,28.5890612,354.2601265,8577,4.072613605,28.39654019,40.24817521,0.754432031,33.65272903,53.77491379,10.89316845,2
element_35,242.9545116,0.290517251,27.3480272,412.4857547,221362.6,3.27083202,25.83627859,45.18021472,3.81775779,22.86897278,41.68596649,30.98745155,2
element_36,241.2796405,0.176679717,27.30981959,457.0859022,52927.1,4.191981141,30.1739338,44.37851019,2.921055577,27.06080818,34.83064651,33.10992813,2
element_37,290.2474608,0.225134772,27.78694784,358.6582231,71878.4,3.80103567,28.51047324,39.20083747,0.794914424,37.97655869,47.65000153,12.53071308,2
element_38,248.7348813,0.171917104,27.90292755,346.1903621,5838.4,3.807798172,28.16102622,39.48746689,0.249039248,39.17574692,47.98797989,11.4416132,2
element_39,1372.534896,1.331470374,22.93848336,659.2896855,22824,2.332616093,29.16939872,37.45737051,0.48453013,39.19560242,40.85432053,17.87002182,8
element_40,747.7170015,1.019289108,25.59912887,426.9210386,36190.4,3.128267406,27.26950978,37.87704157,1.605542143,33.13453293,45.49028397,17.47860718,2
element_41,347.4082498,0.384211785,28.81342321,311.8617897,153450,2.934302157,24.24365715,42.53253515,4.690407967,22.30974388,44.60879517,31.18138695,2
element_42,422.6380121,0.264131556,28.01268211,335.8396305,15098.2,3.298795636,25.58860488,43.24630457,4.630065783,21.86519623,45.25143051,31.16929817,2
element_43,214.4283071,0.300533312,29.47512177,266.6940781,82600.3,3.012184375,23.26179298,41.96808141,4.199567177,18.34285736,39.95714188,36.45849991,2
element_44,1115.459756,1.225954774,23.87824464,534.103555,60316.5,2.052364946,25.31473609,39.79313617,4.705482693,26.46657181,37.6867218,33.47331619,8
element_45,828.0931165,1.308801839,25.47143168,461.1438844,57337,1.757564459,25.21042098,41.13401783,5.469119907,22.97073936,35.88327789,38.05534363,2
element_46,981.3424962,0.938531458,24.60586841,531.8208452,24861,2.421915682,26.93604753,41.3994944,5.9991168,25.15469742,36.36330414,35.56818008,8
element_47,871.7631486,0.697249424,25.5340269,413.1760504,45572.2,2.427353279,24.68468056,43.97430908,7.311420043,22.75201225,41.26727295,34.36945724,2
element_48,402.378033,0.558770577,27.7320006,344.4474329,144786,3.157207022,26.88153588,43.92428266,5.614230519,23.19495392,42.78948975,32.80089951,2
element_49,1653.662165,2.756874969,20.65028714,808.3526127,19189.2,1.447655898,24.7170322,39.62385884,5.933569438,29.71095657,36.45318985,31.19079781,8
element_50,1393.410062,2.588729926,21.4838585,746.6642115,15084.6,1.674787252,26.10167892,40.06195192,6.292754562,29.18420982,35.08679962,32.80886841,8
element_51,662.8442772,0.979654735,26.59317863,441.8941897,112519.9,2.455924224,26.08795202,42.28338685,6.529266903,24.43646622,36.68836212,37.00417709,2
